Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-24 16:21:57,2018-10-24 16:23:51,1m - 53.822s,PASSED
,,,,,,
Test Cases/Prompts/Prompt - Add,Chrome 69.0.3497.100,,2018-10-24 16:21:57,2018-10-24 16:22:09,11.850s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 16:21:58,2018-10-24 16:22:00,1.977s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 16:22:00,2018-10-24 16:22:01,1.328s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 16:22:01,2018-10-24 16:22:01,0.210s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 16:22:01,2018-10-24 16:22:01,0.253s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 16:22:01,2018-10-24 16:22:03,1.495s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 16:22:03,2018-10-24 16:22:04,1.167s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-24 16:22:04,2018-10-24 16:22:07,2.448s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:07,2018-10-24 16:22:07,0.091s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:07,2018-10-24 16:22:08,1.236s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:08,2018-10-24 16:22:08,0.083s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:08,2018-10-24 16:22:08,0.161s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:08,2018-10-24 16:22:08,0.114s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-24 16:22:08,2018-10-24 16:22:08,0.191s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:08,2018-10-24 16:22:09,0.117s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.114s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.109s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.070s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.063s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.123s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.086s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:09,0.120s,PASSED
,,,,,,
Test Cases/Prompts/Prompts - Add Criteria,Chrome 69.0.3497.100,,2018-10-24 16:22:09,2018-10-24 16:22:35,26.068s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 16:22:10,2018-10-24 16:22:10,0.691s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 16:22:10,2018-10-24 16:22:12,2.139s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 16:22:12,2018-10-24 16:22:13,0.176s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 16:22:13,2018-10-24 16:22:13,0.096s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 16:22:13,2018-10-24 16:22:14,1.330s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 16:22:14,2018-10-24 16:22:15,0.623s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:22:15,2018-10-24 16:22:16,1.014s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,"Browser switches to window of selected account
",2018-10-24 16:22:16,2018-10-24 16:22:17,0.969s,PASSED
click,Chrome 69.0.3497.100,Expand Account Settings to see sub-menu,2018-10-24 16:22:17,2018-10-24 16:22:17,0.159s,PASSED
click,Chrome 69.0.3497.100,Clicks [Prompts] from Account Settings menu,2018-10-24 16:22:17,2018-10-24 16:22:18,1.779s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:22:18,2018-10-24 16:22:19,1.005s,PASSED
click,Chrome 69.0.3497.100,Click [Criteria] link to existing prompt,2018-10-24 16:22:19,2018-10-24 16:22:20,0.072s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:22:20,2018-10-24 16:22:21,1.005s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,"Selects [Voter Status] from ""Add Criteria' dropdown",2018-10-24 16:22:21,2018-10-24 16:22:21,0.186s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:22:21,2018-10-24 16:22:22,1.002s,PASSED
click,Chrome 69.0.3497.100,Adds Voter Status = Active criteria,2018-10-24 16:22:22,2018-10-24 16:22:22,0.058s,PASSED
