Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-24 16:13:41,2018-10-24 16:15:17,1m - 36.241s,PASSED
,,,,,,
Test Cases/Prompts/Prompt - Add,Chrome 69.0.3497.100,,2018-10-24 16:13:41,2018-10-24 16:13:51,9.948s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 16:13:42,2018-10-24 16:13:44,1.976s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 16:13:44,2018-10-24 16:13:45,1.360s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 16:13:45,2018-10-24 16:13:45,0.230s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 16:13:45,2018-10-24 16:13:46,0.192s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 16:13:46,2018-10-24 16:13:47,1.081s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 16:13:47,2018-10-24 16:13:47,0.653s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-24 16:13:47,2018-10-24 16:13:49,1.573s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:49,2018-10-24 16:13:49,0.132s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:49,2018-10-24 16:13:50,0.989s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:50,2018-10-24 16:13:50,0.077s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:50,2018-10-24 16:13:50,0.171s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:50,2018-10-24 16:13:50,0.109s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-24 16:13:50,2018-10-24 16:13:51,0.209s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.104s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.105s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.103s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.073s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.065s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.117s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.091s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:13:51,0.103s,PASSED
,,,,,,
Test Cases/Prompts/Prompts - Add Criteria,Chrome 69.0.3497.100,,2018-10-24 16:13:51,2018-10-24 16:14:15,23.953s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 16:13:52,2018-10-24 16:13:52,0.687s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 16:13:52,2018-10-24 16:13:54,1.394s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 16:13:54,2018-10-24 16:13:54,0.158s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 16:13:54,2018-10-24 16:13:54,0.111s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 16:13:54,2018-10-24 16:13:55,0.985s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 16:13:55,2018-10-24 16:13:56,0.615s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:13:56,2018-10-24 16:13:57,1.018s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,"Browser switches to window of selected account
",2018-10-24 16:13:57,2018-10-24 16:13:57,0.727s,PASSED
click,Chrome 69.0.3497.100,Expand Account Settings to see sub-menu,2018-10-24 16:13:57,2018-10-24 16:13:58,0.146s,PASSED
click,Chrome 69.0.3497.100,Clicks [Prompts] from Account Settings menu,2018-10-24 16:13:58,2018-10-24 16:13:59,0.898s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:13:59,2018-10-24 16:14:00,1.007s,PASSED
click,Chrome 69.0.3497.100,Click [Criteria] link to existing prompt,2018-10-24 16:14:00,2018-10-24 16:14:00,0.075s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:00,2018-10-24 16:14:01,1.005s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,"Selects [Voter Status] from ""Add Criteria' dropdown",2018-10-24 16:14:01,2018-10-24 16:14:01,0.179s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:01,2018-10-24 16:14:02,1.006s,PASSED
click,Chrome 69.0.3497.100,Adds Voter Status = Active criteria,2018-10-24 16:14:02,2018-10-24 16:14:02,0.075s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:02,2018-10-24 16:14:03,1.001s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,"Selects ""Absentee Status"" from Add Criteria dropdown
",2018-10-24 16:14:03,2018-10-24 16:14:03,0.156s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:03,2018-10-24 16:14:04,1.004s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Select Absentee Status Value,2018-10-24 16:14:04,2018-10-24 16:14:04,0.151s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:04,2018-10-24 16:14:05,1.003s,PASSED
click,Chrome 69.0.3497.100,Adds Absentee Criteria,2018-10-24 16:14:05,2018-10-24 16:14:05,0.058s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:05,2018-10-24 16:14:06,1.005s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Select Voter Status reason from from Add Criteria dropdown,2018-10-24 16:14:06,2018-10-24 16:14:06,0.156s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:06,2018-10-24 16:14:07,1.004s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Select Voter Status reason '=',2018-10-24 16:14:07,2018-10-24 16:14:08,0.146s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:08,2018-10-24 16:14:09,1.003s,PASSED
setText,Chrome 69.0.3497.100,Input value for Voter Status reason,2018-10-24 16:14:09,2018-10-24 16:14:09,0.094s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:09,2018-10-24 16:14:10,1.006s,PASSED
click,Chrome 69.0.3497.100,Adds Voter Status Reason criteria,2018-10-24 16:14:10,2018-10-24 16:14:10,0.040s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:10,2018-10-24 16:14:11,1.005s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,"Select ""Voter over 18"" from Add Criteria dropdown",2018-10-24 16:14:11,2018-10-24 16:14:11,0.195s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:11,2018-10-24 16:14:12,1.006s,PASSED
click,Chrome 69.0.3497.100,"Add ""Voter over 18"" Criteria",2018-10-24 16:14:12,2018-10-24 16:14:12,0.046s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:12,2018-10-24 16:14:13,1.006s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Select Party Affiliation from Add Criteria dropdown,2018-10-24 16:14:13,2018-10-24 16:14:13,0.182s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:13,2018-10-24 16:14:14,1.004s,PASSED
click,Chrome 69.0.3497.100,Adds Party Affiliation criteria,2018-10-24 16:14:14,2018-10-24 16:14:14,0.048s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:14,2018-10-24 16:14:15,1.006s,PASSED
click,Chrome 69.0.3497.100,Save Criteria,2018-10-24 16:14:15,2018-10-24 16:14:15,0.066s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 16:14:15,2018-10-24 16:14:15,0.087s,PASSED
,,,,,,
Test Cases/Prompts/Prompts - Buttons,Chrome 69.0.3497.100,,2018-10-24 16:14:15,2018-10-24 16:14:45,29.305s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 16:14:16,2018-10-24 16:14:16,0.703s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 16:14:16,2018-10-24 16:14:18,1.357s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 16:14:18,2018-10-24 16:14:18,0.167s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 16:14:18,2018-10-24 16:14:18,0.104s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 16:14:18,2018-10-24 16:14:19,1.223s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 16:14:19,2018-10-24 16:14:20,0.625s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:20,2018-10-24 16:14:21,1.006s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,"Browser switches to window of selected account
",2018-10-24 16:14:21,2018-10-24 16:14:21,0.377s,PASSED
click,Chrome 69.0.3497.100,Expand Account Settings to see sub-menu,2018-10-24 16:14:21,2018-10-24 16:14:21,0.196s,PASSED
click,Chrome 69.0.3497.100,Clicks [Prompts] from Account Settings menu,2018-10-24 16:14:21,2018-10-24 16:14:22,0.979s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:14:22,2018-10-24 16:14:22,0.079s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:22,2018-10-24 16:14:23,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:14:23,2018-10-24 16:14:23,0.089s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:23,2018-10-24 16:14:24,1.002s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-24 16:14:24,2018-10-24 16:14:25,0.212s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:25,2018-10-24 16:14:26,1.005s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 16:14:26,2018-10-24 16:14:26,0.065s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:26,2018-10-24 16:14:27,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 16:14:27,2018-10-24 16:14:27,0.063s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 16:14:27,2018-10-24 16:14:28,1.003s,PASSED
