Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.77,,2018-10-31 11:54:21,2018-10-31 11:54:40,18.655s,PASSED
,,,,,,
Test Cases/Admin Console/Account Settings/Oaths/Oaths - Add,Chrome 70.0.3538.77,,2018-10-31 11:54:22,2018-10-31 11:54:40,18.072s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-10-31 11:54:22,2018-10-31 11:54:25,2.340s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-10-31 11:54:25,2018-10-31 11:54:26,1.399s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-10-31 11:54:26,2018-10-31 11:54:26,0.278s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-10-31 11:54:26,2018-10-31 11:54:27,0.157s,PASSED
click,Chrome 70.0.3538.77,Login,2018-10-31 11:54:27,2018-10-31 11:54:28,1.194s,PASSED
delay,Chrome 70.0.3538.77,,2018-10-31 11:54:28,2018-10-31 11:54:29,1.024s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 11:54:29,2018-10-31 11:54:30,1.035s,PASSED
delay,Chrome 70.0.3538.77,,2018-10-31 11:54:30,2018-10-31 11:54:31,1.009s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:31,0.076s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:31,0.130s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:31,0.180s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:31,0.168s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:31,0.076s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:31,2018-10-31 11:54:32,0.145s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:32,2018-10-31 11:54:32,0.071s,PASSED
delay,Chrome 70.0.3538.77,,2018-10-31 11:54:32,2018-10-31 11:54:33,1.005s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.059s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.137s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.109s,PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.154s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.050s,PASSED
click,Chrome 70.0.3538.77,,2018-10-31 11:54:33,2018-10-31 11:54:33,0.070s,PASSED
