Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-29 17:14:53,2018-10-29 17:17:46,2m - 53.269s,FAILED
,,,,,,
Test Cases/SuperAdminConsole/Poll Pads/PollPad - Add,Chrome 69.0.3497.100,,2018-10-29 17:14:53,2018-10-29 17:15:11,17.128s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-29 17:14:54,2018-10-29 17:14:56,2.077s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-29 17:14:56,2018-10-29 17:14:58,1.827s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-29 17:14:58,2018-10-29 17:14:58,0.254s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-29 17:14:58,2018-10-29 17:14:58,0.188s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-29 17:14:58,2018-10-29 17:15:00,1.359s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:00,2018-10-29 17:15:01,1.035s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:01,2018-10-29 17:15:02,1.056s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:02,2018-10-29 17:15:03,1.005s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:03,2018-10-29 17:15:03,0.093s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:03,2018-10-29 17:15:04,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:15:04,2018-10-29 17:15:04,0.129s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:04,2018-10-29 17:15:05,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:05,2018-10-29 17:15:05,0.095s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:05,2018-10-29 17:15:05,0.151s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:05,2018-10-29 17:15:06,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:06,2018-10-29 17:15:06,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:06,2018-10-29 17:15:06,0.068s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:06,2018-10-29 17:15:07,1.002s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-29 17:15:07,2018-10-29 17:15:07,0.103s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:07,2018-10-29 17:15:08,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:08,2018-10-29 17:15:08,0.076s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:08,2018-10-29 17:15:09,1.002s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:15:09,2018-10-29 17:15:10,0.063s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:10,2018-10-29 17:15:11,1.008s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 17:15:11,2018-10-29 17:15:11,0.104s,PASSED
,,,,,,
Test Cases/SuperAdminConsole/Poll Pads/PollPad_Assign,Chrome 69.0.3497.100,,2018-10-29 17:15:11,2018-10-29 17:15:27,16.298s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 17:15:11,2018-10-29 17:15:13,1.901s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-29 17:15:13,2018-10-29 17:15:14,0.812s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-29 17:15:14,2018-10-29 17:15:15,1.190s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-29 17:15:15,2018-10-29 17:15:15,0.169s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-29 17:15:15,2018-10-29 17:15:15,0.091s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-29 17:15:15,2018-10-29 17:15:16,1.202s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:16,2018-10-29 17:15:17,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:17,2018-10-29 17:15:18,0.738s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:18,2018-10-29 17:15:19,1.007s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:15:19,2018-10-29 17:15:19,0.163s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:19,2018-10-29 17:15:20,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:15:20,2018-10-29 17:15:20,0.092s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:20,2018-10-29 17:15:21,1.007s,PASSED
click,Chrome 69.0.3497.100,Click account dropdown,2018-10-29 17:15:21,2018-10-29 17:15:21,0.080s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 17:15:21,2018-10-29 17:15:22,1.003s,PASSED
