Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.77,,2018-11-02 16:57:14,2018-11-02 17:01:25,4m - 11.128s,FAILED
,,,,,,
Test Cases/Admin Console/Election Setup/Election Creation,Chrome 70.0.3538.77,,2018-11-02 16:57:14,2018-11-02 16:58:39,1m - 24.849s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-11-02 16:57:15,2018-11-02 16:57:17,2.075s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-11-02 16:57:17,2018-11-02 16:57:18,1.245s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-11-02 16:57:18,2018-11-02 16:57:18,0.229s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-11-02 16:57:18,2018-11-02 16:57:18,0.164s,PASSED
click,Chrome 70.0.3538.77,Login,2018-11-02 16:57:18,2018-11-02 16:57:19,0.949s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 16:57:19,2018-11-02 16:57:20,1.037s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Click the Elections link under Election Setup.,2018-11-02 16:57:20,2018-11-02 16:57:21,1.028s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 1 - Choose the file to upload.,2018-11-02 16:57:21,2018-11-02 16:57:21,0.073s,PASSED
click,Chrome 70.0.3538.77,Election Creation Step 1 - Click Continue once the file is specified.,2018-11-02 16:57:21,2018-11-02 16:57:21,0.072s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for loading times.,2018-11-02 16:57:21,2018-11-02 16:57:31,10.005s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Enter an election name.,2018-11-02 16:57:31,2018-11-02 16:57:32,0.139s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Enter an election code.,2018-11-02 16:57:32,2018-11-02 16:57:32,0.095s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,Election Creation Step 2 - Select an election type.,2018-11-02 16:57:32,2018-11-02 16:57:32,0.163s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Select an election date.,2018-11-02 16:57:32,2018-11-02 16:57:32,0.196s,PASSED
