Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 70.0.3538.102,Election Creation Step 2 - Click Submit to continue to Step 3.,2018-11-14 11:29:30,2018-11-14 11:29:31,0.955s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:29:31,2018-11-14 11:29:41,10.005s,PASSED
click,Chrome 70.0.3538.102,Step 3 - Click Done to continue.,2018-11-14 11:29:41,2018-11-14 11:29:42,0.786s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:29:42,2018-11-14 11:29:52,10.003s,PASSED
click,Chrome 70.0.3538.102,Step 4 - Click Done to Continue.,2018-11-14 11:29:52,2018-11-14 11:29:53,1.046s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:29:53,2018-11-14 11:30:03,10.003s,PASSED
click,Chrome 70.0.3538.102,Step 5 - Click Confirm to finish the setup wizard and create the election.,2018-11-14 11:30:03,2018-11-14 11:30:03,0.079s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:30:03,2018-11-14 11:30:23,20.003s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify the election created by checking for unique text on the screen.,2018-11-14 11:30:23,2018-11-14 11:30:23,0.117s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,,2018-11-14 11:30:23,2018-11-14 11:30:23,0.078s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:30:23,2018-11-14 11:30:24,1.005s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 11:30:24,2018-11-14 11:30:25,0.739s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:30:25,2018-11-14 11:30:26,1.003s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:30:26,2018-11-14 11:30:27,1.005s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,,2018-11-14 11:30:27,2018-11-14 11:30:27,0.125s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-14 11:30:27,2018-11-14 11:30:27,0.148s,PASSED
,,,,,,
Test Cases/Admin Console/Election Setup/Election Creation - Upload Supplemental,Chrome 70.0.3538.102,,2018-11-14 11:30:27,2018-11-14 11:30:50,22.807s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:30:28,2018-11-14 11:30:29,1.148s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:30:29,2018-11-14 11:30:30,1.448s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:30:30,2018-11-14 11:30:30,0.219s,PASSED
