Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.102,,2018-11-14 11:35:52,2018-11-14 11:37:53,2m - 0.225s,FAILED
,,,,,,
Test Cases/SuperAdminConsole/Accounts/Create Account(SuperAdminConsole),Chrome 70.0.3538.102,,2018-11-14 11:35:53,2018-11-14 11:36:18,25.036s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:35:53,2018-11-14 11:35:55,2.211s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:35:55,2018-11-14 11:35:57,1.580s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:35:57,2018-11-14 11:35:57,0.263s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 11:35:57,2018-11-14 11:35:57,0.174s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 11:35:57,2018-11-14 11:35:59,1.157s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:35:59,2018-11-14 11:36:00,1.023s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:36:00,2018-11-14 11:36:01,1.009s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:01,2018-11-14 11:36:02,1.008s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:36:02,2018-11-14 11:36:02,0.209s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:02,2018-11-14 11:36:03,1.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:36:03,2018-11-14 11:36:03,0.177s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:03,2018-11-14 11:36:04,1.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:04,2018-11-14 11:36:05,0.666s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:05,2018-11-14 11:36:06,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:06,2018-11-14 11:36:06,0.154s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:06,2018-11-14 11:36:07,1.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:07,2018-11-14 11:36:07,0.001s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:07,2018-11-14 11:36:08,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:08,2018-11-14 11:36:08,0.448s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:08,2018-11-14 11:36:09,1.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:09,2018-11-14 11:36:10,0.454s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:10,2018-11-14 11:36:11,1.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:11,2018-11-14 11:36:11,0.146s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:11,2018-11-14 11:36:12,1.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:12,2018-11-14 11:36:12,0.206s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:12,2018-11-14 11:36:13,1.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:13,2018-11-14 11:36:14,0.338s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:14,2018-11-14 11:36:15,1.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:36:15,2018-11-14 11:36:15,0.165s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:15,2018-11-14 11:36:16,1.008s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:36:16,2018-11-14 11:36:17,1.142s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:36:17,2018-11-14 11:36:18,1.008s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-14 11:36:18,2018-11-14 11:36:18,0.103s,PASSED
,,,,,,
Test Cases/Admin Console/Election Setup/Election Creation,Chrome 70.0.3538.102,,2018-11-14 11:36:18,2018-11-14 11:37:42,1m - 24.471s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:36:18,2018-11-14 11:36:19,1.034s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:36:19,2018-11-14 11:36:21,1.418s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:36:21,2018-11-14 11:36:21,0.211s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 11:36:21,2018-11-14 11:36:21,0.098s,PASSED
