Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 70.0.3538.77,,2018-11-01 17:11:44,2018-11-01 17:13:41,1m - 56.738s,PASSED
,,,,,,
Test Cases/Admin Console/Account Settings/ID Methods/ID Methods - Add,Chrome 70.0.3538.77,,2018-11-01 17:11:45,2018-11-01 17:11:55,10.256s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-11-01 17:11:45,2018-11-01 17:11:47,2.181s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-11-01 17:11:47,2018-11-01 17:11:49,1.706s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-11-01 17:11:49,2018-11-01 17:11:49,0.247s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-11-01 17:11:49,2018-11-01 17:11:49,0.159s,PASSED
click,Chrome 70.0.3538.77,Login,2018-11-01 17:11:49,2018-11-01 17:11:50,1.138s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:11:50,2018-11-01 17:11:51,1.024s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 17:11:51,2018-11-01 17:11:52,1.108s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:11:52,2018-11-01 17:11:53,1.008s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:11:53,2018-11-01 17:11:53,0.070s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:53,2018-11-01 17:11:54,0.152s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.162s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.168s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.136s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.088s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.074s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.099s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:54,0.080s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:54,2018-11-01 17:11:55,0.143s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:11:55,2018-11-01 17:11:55,0.142s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:11:55,2018-11-01 17:11:55,0.106s,PASSED
,,,,,,
Test Cases/Admin Console/Account Settings/ID Methods/ID Methods - Edit,Chrome 70.0.3538.77,,2018-11-01 17:11:55,2018-11-01 17:12:04,9.032s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-11-01 17:11:55,2018-11-01 17:11:56,1.259s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-11-01 17:11:56,2018-11-01 17:11:58,1.527s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-11-01 17:11:58,2018-11-01 17:11:58,0.168s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-11-01 17:11:58,2018-11-01 17:11:58,0.086s,PASSED
click,Chrome 70.0.3538.77,Login,2018-11-01 17:11:58,2018-11-01 17:11:59,1.152s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:11:59,2018-11-01 17:12:00,1.006s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 17:12:00,2018-11-01 17:12:01,1.152s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:01,2018-11-01 17:12:02,1.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:02,2018-11-01 17:12:02,0.077s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:02,2018-11-01 17:12:03,0.240s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.186s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.146s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.159s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.083s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.001s,NOT_RUN
click,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.078s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.000s,NOT_RUN
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:03,0.179s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:03,2018-11-01 17:12:04,0.125s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:04,2018-11-01 17:12:04,0.085s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 17:12:04,2018-11-01 17:12:04,0.103s,PASSED
,,,,,,
Test Cases/Admin Console/Account Settings/ID Methods/ID Methods - Button,Chrome 70.0.3538.77,,2018-11-01 17:12:04,2018-11-01 17:12:34,30.083s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-11-01 17:12:04,2018-11-01 17:12:05,0.997s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-11-01 17:12:05,2018-11-01 17:12:06,1.462s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-11-01 17:12:06,2018-11-01 17:12:07,0.163s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-11-01 17:12:07,2018-11-01 17:12:07,0.088s,PASSED
click,Chrome 70.0.3538.77,Login,2018-11-01 17:12:07,2018-11-01 17:12:08,1.048s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:08,2018-11-01 17:12:09,1.006s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 17:12:09,2018-11-01 17:12:10,0.918s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:10,2018-11-01 17:12:11,1.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:11,2018-11-01 17:12:11,0.078s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:11,2018-11-01 17:12:12,1.006s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:12,2018-11-01 17:12:12,0.087s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:12,2018-11-01 17:12:13,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:13,2018-11-01 17:12:13,0.171s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:13,2018-11-01 17:12:14,1.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:14,2018-11-01 17:12:14,0.057s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:14,2018-11-01 17:12:15,1.005s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:15,2018-11-01 17:12:15,0.071s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:15,2018-11-01 17:12:16,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:16,2018-11-01 17:12:16,0.141s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:16,2018-11-01 17:12:16,0.138s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:16,2018-11-01 17:12:17,1.006s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:17,2018-11-01 17:12:17,0.038s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:17,2018-11-01 17:12:18,1.006s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:18,2018-11-01 17:12:19,0.069s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:19,2018-11-01 17:12:20,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:20,2018-11-01 17:12:20,0.144s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:20,2018-11-01 17:12:21,1.006s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:21,2018-11-01 17:12:21,0.090s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:21,2018-11-01 17:12:22,1.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:22,2018-11-01 17:12:22,0.043s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:22,2018-11-01 17:12:23,1.002s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:23,2018-11-01 17:12:23,0.062s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:23,2018-11-01 17:12:24,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:24,2018-11-01 17:12:24,0.144s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:24,2018-11-01 17:12:25,1.005s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 17:12:25,2018-11-01 17:12:25,0.056s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:25,2018-11-01 17:12:26,1.007s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 17:12:26,2018-11-01 17:12:26,0.065s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-01 17:12:26,2018-11-01 17:12:27,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-01 17:12:27,2018-11-01 17:12:27,0.158s,PASSED
