Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.77,,2018-11-02 16:29:14,2018-11-02 16:33:32,4m - 18.291s,FAILED
,,,,,,
Test Cases/Admin Console/Election Setup/Election Creation,Chrome 70.0.3538.77,,2018-11-02 16:29:14,2018-11-02 16:30:40,1m - 25.525s,PASSED
openBrowser,Chrome 70.0.3538.77,Open browser.,2018-11-02 16:29:15,2018-11-02 16:29:17,2.271s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Navigate to ePulse login page.,2018-11-02 16:29:17,2018-11-02 16:29:18,1.492s,PASSED
setText,Chrome 70.0.3538.77,Enter user name,2018-11-02 16:29:18,2018-11-02 16:29:19,0.238s,PASSED
setEncryptedText,Chrome 70.0.3538.77,Enter Password,2018-11-02 16:29:19,2018-11-02 16:29:19,0.169s,PASSED
click,Chrome 70.0.3538.77,Login,2018-11-02 16:29:19,2018-11-02 16:29:20,1.033s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 16:29:20,2018-11-02 16:29:21,1.046s,PASSED
navigateToUrl,Chrome 70.0.3538.77,Click the Elections link under Election Setup.,2018-11-02 16:29:21,2018-11-02 16:29:22,0.940s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 1 - Choose the file to upload.,2018-11-02 16:29:22,2018-11-02 16:29:22,0.082s,PASSED
click,Chrome 70.0.3538.77,Election Creation Step 1 - Click Continue once the file is specified.,2018-11-02 16:29:22,2018-11-02 16:29:22,0.088s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for loading times.,2018-11-02 16:29:22,2018-11-02 16:29:32,10.008s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Enter an election name.,2018-11-02 16:29:32,2018-11-02 16:29:32,0.162s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Enter an election code.,2018-11-02 16:29:32,2018-11-02 16:29:32,0.094s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,Election Creation Step 2 - Select an election type.,2018-11-02 16:29:32,2018-11-02 16:29:32,0.162s,PASSED
setText,Chrome 70.0.3538.77,Election Creation Step 2 - Select an election date.,2018-11-02 16:29:32,2018-11-02 16:29:33,0.199s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for unpacking times of the uploaded file.,2018-11-02 16:29:33,2018-11-02 16:29:43,10.004s,PASSED
click,Chrome 70.0.3538.77,Election Creation Step 2 - Click Submit to continue to Step 3.,2018-11-02 16:29:43,2018-11-02 16:29:44,0.980s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for load times.,2018-11-02 16:29:44,2018-11-02 16:29:54,10.005s,PASSED
click,Chrome 70.0.3538.77,Step 3 - Click Done to continue.,2018-11-02 16:29:54,2018-11-02 16:29:54,0.820s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for load times.,2018-11-02 16:29:54,2018-11-02 16:30:04,10.002s,PASSED
click,Chrome 70.0.3538.77,Step 4 - Click Done to Continue.,2018-11-02 16:30:04,2018-11-02 16:30:05,0.910s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for load times.,2018-11-02 16:30:05,2018-11-02 16:30:15,10.006s,PASSED
click,Chrome 70.0.3538.77,Step 5 - Click Confirm to finish the setup wizard and create the election.,2018-11-02 16:30:15,2018-11-02 16:30:15,0.076s,PASSED
delay,Chrome 70.0.3538.77,Delay to account for load times.,2018-11-02 16:30:15,2018-11-02 16:30:35,20.006s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,Verify the election created by checking for unique text on the screen.,2018-11-02 16:30:35,2018-11-02 16:30:36,0.101s,PASSED
verifyTextPresent,Chrome 70.0.3538.77,,2018-11-02 16:30:36,2018-11-02 16:30:36,0.065s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 16:30:36,2018-11-02 16:30:37,1.004s,PASSED
