Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.102,,2018-11-14 11:42:23,2018-11-14 11:45:03,2m - 40.195s,FAILED
,,,,,,
Test Cases/SuperAdminConsole/Accounts/Create Account(SuperAdminConsole),Chrome 70.0.3538.102,,2018-11-14 11:42:24,2018-11-14 11:42:49,25.078s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:42:24,2018-11-14 11:42:26,2.438s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:42:26,2018-11-14 11:42:28,1.652s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:42:28,2018-11-14 11:42:28,0.252s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 11:42:28,2018-11-14 11:42:29,0.182s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 11:42:29,2018-11-14 11:42:30,1.025s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:30,2018-11-14 11:42:31,1.018s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:42:31,2018-11-14 11:42:31,0.900s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:31,2018-11-14 11:42:32,1.004s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:42:32,2018-11-14 11:42:33,0.180s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:33,2018-11-14 11:42:34,1.002s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:42:34,2018-11-14 11:42:34,0.180s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:34,2018-11-14 11:42:35,1.001s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:35,2018-11-14 11:42:36,0.666s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:36,2018-11-14 11:42:37,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:37,2018-11-14 11:42:37,0.144s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:37,2018-11-14 11:42:38,1.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:38,2018-11-14 11:42:38,0.002s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:38,2018-11-14 11:42:39,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:39,2018-11-14 11:42:39,0.463s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:39,2018-11-14 11:42:40,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:40,2018-11-14 11:42:41,0.448s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:41,2018-11-14 11:42:42,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:42,2018-11-14 11:42:42,0.141s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:42,2018-11-14 11:42:43,1.007s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:43,2018-11-14 11:42:43,0.214s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:43,2018-11-14 11:42:44,1.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:44,2018-11-14 11:42:44,0.341s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:44,2018-11-14 11:42:45,1.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 11:42:45,2018-11-14 11:42:45,0.155s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:45,2018-11-14 11:42:46,1.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:42:46,2018-11-14 11:42:48,1.062s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:48,2018-11-14 11:42:49,1.007s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-14 11:42:49,2018-11-14 11:42:49,0.145s,PASSED
,,,,,,
Test Cases/Admin Console/Election Setup/Election Creation,Chrome 70.0.3538.102,,2018-11-14 11:42:49,2018-11-14 11:44:16,1m - 27.614s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 11:42:49,2018-11-14 11:42:50,1.026s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 11:42:50,2018-11-14 11:42:53,2.745s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 11:42:53,2018-11-14 11:42:53,0.165s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 11:42:53,2018-11-14 11:42:53,0.083s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 11:42:53,2018-11-14 11:42:54,1.585s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:42:54,2018-11-14 11:42:56,1.005s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Click the Elections link under Election Setup.,2018-11-14 11:42:56,2018-11-14 11:42:57,1.249s,PASSED
setText,Chrome 70.0.3538.102,Election Creation Step 1 - Choose the file to upload.,2018-11-14 11:42:57,2018-11-14 11:42:57,0.067s,PASSED
click,Chrome 70.0.3538.102,Election Creation Step 1 - Click Continue once the file is specified.,2018-11-14 11:42:57,2018-11-14 11:42:57,0.071s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for loading times.,2018-11-14 11:42:57,2018-11-14 11:43:07,10.005s,PASSED
setText,Chrome 70.0.3538.102,Election Creation Step 2 - Enter an election name.,2018-11-14 11:43:07,2018-11-14 11:43:07,0.128s,PASSED
setText,Chrome 70.0.3538.102,Election Creation Step 2 - Enter an election code.,2018-11-14 11:43:07,2018-11-14 11:43:07,0.097s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,Election Creation Step 2 - Select an election type.,2018-11-14 11:43:07,2018-11-14 11:43:07,0.152s,PASSED
setText,Chrome 70.0.3538.102,Election Creation Step 2 - Select an election date.,2018-11-14 11:43:07,2018-11-14 11:43:07,0.208s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for unpacking times of the uploaded file.,2018-11-14 11:43:07,2018-11-14 11:43:17,10.006s,PASSED
click,Chrome 70.0.3538.102,Election Creation Step 2 - Click Submit to continue to Step 3.,2018-11-14 11:43:17,2018-11-14 11:43:19,1.266s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:43:19,2018-11-14 11:43:29,10.007s,PASSED
click,Chrome 70.0.3538.102,Step 3 - Click Done to continue.,2018-11-14 11:43:29,2018-11-14 11:43:30,0.973s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:43:30,2018-11-14 11:43:40,10.006s,PASSED
click,Chrome 70.0.3538.102,Step 4 - Click Done to Continue.,2018-11-14 11:43:40,2018-11-14 11:43:42,1.785s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:43:42,2018-11-14 11:43:52,10.003s,PASSED
click,Chrome 70.0.3538.102,Step 5 - Click Confirm to finish the setup wizard and create the election.,2018-11-14 11:43:52,2018-11-14 11:43:52,0.059s,PASSED
delay,Chrome 70.0.3538.102,Delay to account for load times.,2018-11-14 11:43:52,2018-11-14 11:44:12,20.008s,PASSED
