Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke Test(US),Chrome 70.0.3538.102,,2018-11-14 12:33:45,2018-11-14 12:42:10,8m - 25.085s,FAILED
,,,,,,
Test Cases/SuperAdminConsole/Accounts/Account(SuperAdminConsole) - Delete,Chrome 70.0.3538.102,,2018-11-14 12:33:46,2018-11-14 12:33:59,12.769s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 12:33:46,2018-11-14 12:33:49,2.507s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 12:33:49,2018-11-14 12:33:50,1.732s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 12:33:50,2018-11-14 12:33:51,0.256s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 12:33:51,2018-11-14 12:33:51,0.184s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 12:33:51,2018-11-14 12:33:52,1.213s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:33:52,2018-11-14 12:33:53,1.026s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 12:33:53,2018-11-14 12:33:54,1.156s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:33:54,2018-11-14 12:33:55,1.008s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-14 12:33:55,2018-11-14 12:33:55,0.076s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:33:55,2018-11-14 12:33:58,3.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 12:33:58,2018-11-14 12:33:58,0.080s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-14 12:33:58,2018-11-14 12:33:58,0.026s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-14 12:33:58,2018-11-14 12:33:59,0.160s,PASSED
,,,,,,
Test Cases/SuperAdminConsole/Accounts/Create Account(SuperAdminConsole),Chrome 70.0.3538.102,,2018-11-14 12:33:59,2018-11-14 12:34:22,23.937s,PASSED
openBrowser,Chrome 70.0.3538.102,Open browser.,2018-11-14 12:33:59,2018-11-14 12:34:00,1.136s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Navigate to ePulse login page.,2018-11-14 12:34:00,2018-11-14 12:34:02,1.591s,PASSED
setText,Chrome 70.0.3538.102,Enter user name,2018-11-14 12:34:02,2018-11-14 12:34:02,0.199s,PASSED
setEncryptedText,Chrome 70.0.3538.102,Enter Password,2018-11-14 12:34:02,2018-11-14 12:34:02,0.098s,PASSED
click,Chrome 70.0.3538.102,Login,2018-11-14 12:34:02,2018-11-14 12:34:03,1.105s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:03,2018-11-14 12:34:04,1.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 12:34:04,2018-11-14 12:34:05,1.095s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:05,2018-11-14 12:34:06,1.005s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 12:34:06,2018-11-14 12:34:06,0.196s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:06,2018-11-14 12:34:07,1.006s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 12:34:07,2018-11-14 12:34:07,0.178s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:07,2018-11-14 12:34:08,1.005s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:08,2018-11-14 12:34:09,0.666s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:09,2018-11-14 12:34:10,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:10,2018-11-14 12:34:10,0.139s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:10,2018-11-14 12:34:11,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:11,2018-11-14 12:34:11,0.001s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:11,2018-11-14 12:34:12,1.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:12,2018-11-14 12:34:13,0.448s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:13,2018-11-14 12:34:14,1.002s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:14,2018-11-14 12:34:14,0.452s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:14,2018-11-14 12:34:15,1.007s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:15,2018-11-14 12:34:15,0.145s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 12:34:15,2018-11-14 12:34:16,1.006s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 12:34:16,2018-11-14 12:34:17,0.204s,PASSED
