Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-24 15:17:51,2018-10-24 15:18:25,33.914s,PASSED
,,,,,,
Test Cases/Prompts/Prompt - Add,Chrome 69.0.3497.100,,2018-10-24 15:17:51,2018-10-24 15:18:01,10.202s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 15:17:52,2018-10-24 15:17:53,1.897s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 15:17:53,2018-10-24 15:17:55,1.478s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 15:17:55,2018-10-24 15:17:55,0.203s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 15:17:55,2018-10-24 15:17:55,0.163s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 15:17:55,2018-10-24 15:17:56,1.102s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 15:17:56,2018-10-24 15:17:57,0.616s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-24 15:17:57,2018-10-24 15:17:59,2.110s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:17:59,2018-10-24 15:17:59,0.097s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:17:59,2018-10-24 15:18:00,0.921s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:18:00,2018-10-24 15:18:00,0.082s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:00,2018-10-24 15:18:00,0.163s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:00,2018-10-24 15:18:00,0.112s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-24 15:18:00,2018-10-24 15:18:01,0.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.093s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.111s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.098s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.076s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.065s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.116s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.075s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:01,0.112s,PASSED
,,,,,,
Test Cases/Prompts/Prompts - Add Criteria,Chrome 69.0.3497.100,,2018-10-24 15:18:01,2018-10-24 15:18:25,23.272s,PASSED
openBrowser,Chrome 69.0.3497.100,Open browser.,2018-10-24 15:18:02,2018-10-24 15:18:02,0.652s,PASSED
navigateToUrl,Chrome 69.0.3497.100,Navigate to ePulse login page.,2018-10-24 15:18:02,2018-10-24 15:18:04,1.261s,PASSED
setText,Chrome 69.0.3497.100,Enter user name,2018-10-24 15:18:04,2018-10-24 15:18:04,0.233s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Enter Password,2018-10-24 15:18:04,2018-10-24 15:18:04,0.083s,PASSED
click,Chrome 69.0.3497.100,Login,2018-10-24 15:18:04,2018-10-24 15:18:05,0.952s,PASSED
click,Chrome 69.0.3497.100,Click on County link,2018-10-24 15:18:05,2018-10-24 15:18:05,0.601s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 15:18:05,2018-10-24 15:18:06,1.018s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,"Browser switches to window of selected account
",2018-10-24 15:18:06,2018-10-24 15:18:07,0.445s,PASSED
click,Chrome 69.0.3497.100,Expand Account Settings to see sub-menu,2018-10-24 15:18:07,2018-10-24 15:18:07,0.094s,PASSED
click,Chrome 69.0.3497.100,Clicks [Prompts] from Account Settings menu,2018-10-24 15:18:07,2018-10-24 15:18:08,0.856s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 15:18:08,2018-10-24 15:18:09,1.005s,PASSED
click,Chrome 69.0.3497.100,Click [Criteria] link to existing prompt,2018-10-24 15:18:09,2018-10-24 15:18:09,0.074s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 15:18:09,2018-10-24 15:18:10,1.005s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,"Selects [Voter Status] from ""Add Criteria' dropdown",2018-10-24 15:18:10,2018-10-24 15:18:10,0.178s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 15:18:10,2018-10-24 15:18:11,1.004s,PASSED
click,Chrome 69.0.3497.100,Adds Voter Status = Active criteria,2018-10-24 15:18:11,2018-10-24 15:18:11,0.060s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-24 15:18:11,2018-10-24 15:18:12,1.002s,PASSED
